iter	Passed	Remaining
0	142	142786
1	145	72463
2	146	48812
3	148	37001
4	150	29976
5	152	25248
6	154	21848
7	156	19408
8	159	17546
9	161	15983
10	163	14730
11	166	13693
12	168	12766
13	169	11967
14	172	11299
15	174	10707
16	176	10188
17	178	9712
18	179	9282
19	181	8882
20	182	8526
21	184	8220
22	186	7941
23	188	7668
24	190	7430
25	192	7207
26	194	7006
27	196	6806
28	197	6619
29	199	6444
30	201	6291
31	202	6140
32	204	6002
33	206	5872
34	208	5753
35	210	5633
36	212	5522
37	213	5415
38	215	5316
39	217	5217
40	219	5122
41	221	5055
42	223	4971
43	224	4887
44	226	4814
45	228	4740
46	230	4666
47	231	4595
48	233	4527
49	234	4463
50	236	4408
51	238	4349
52	240	4294
53	242	4241
54	243	4187
55	245	4136
56	247	4090
57	249	4044
58	250	3997
59	252	3954
60	254	3913
61	256	3874
62	257	3830
63	259	3790
64	260	3753
65	262	3720
66	264	3686
67	266	3651
68	267	3614
69	269	3582
70	271	3546
71	272	3509
72	273	3474
73	274	3439
74	276	3406
75	277	3376
76	278	3343
77	280	3312
78	281	3283
79	282	3253
80	284	3225
81	285	3195
82	286	3160
83	287	3131
84	288	3102
85	289	3075
86	290	3049
87	291	3021
88	292	2994
89	293	2968
90	294	2944
91	296	2922
92	297	2897
93	298	2874
94	299	2849
95	300	2827
96	301	2804
97	302	2782
98	303	2759
99	304	2739
100	305	2719
101	306	2698
102	307	2678
103	308	2658
104	309	2639
105	311	2622
106	312	2606
107	313	2587
108	314	2569
109	315	2551
110	316	2533
111	317	2516
112	318	2498
113	319	2482
114	320	2465
115	321	2448
116	322	2430
117	322	2413
118	323	2397
119	324	2381
120	326	2368
121	326	2352
122	327	2336
123	328	2320
124	329	2305
125	330	2289
126	330	2273
127	331	2258
128	332	2243
129	333	2229
130	334	2216
131	334	2202
132	335	2188
133	336	2175
134	337	2161
135	338	2148
136	338	2135
137	339	2122
138	340	2111
139	341	2099
140	342	2087
141	343	2073
142	344	2061
143	344	2049
144	345	2037
145	346	2026
146	347	2015
147	348	2004
148	349	1993
149	349	1982
150	350	1971
151	351	1960
152	352	1949
153	353	1939
154	353	1929
155	354	1920
156	356	1911
157	356	1901
158	357	1892
159	358	1882
160	359	1871
161	359	1861
162	360	1852
163	361	1842
164	362	1835
165	363	1826
166	364	1817
167	365	1808
168	365	1799
169	366	1790
170	367	1782
171	368	1773
172	369	1764
173	370	1757
174	371	1750
175	372	1742
176	372	1734
177	373	1725
178	374	1717
179	375	1709
180	376	1702
181	377	1694
182	377	1687
183	378	1679
184	379	1671
185	380	1664
186	381	1656
187	381	1649
188	382	1642
189	383	1635
190	384	1629
191	385	1622
192	386	1616
193	387	1609
194	388	1602
195	388	1595
196	389	1588
197	390	1581
198	391	1575
199	392	1569
200	393	1562
201	393	1555
202	394	1548
203	395	1542
204	396	1536
205	396	1529
206	397	1523
207	398	1518
208	399	1511
209	400	1506
210	401	1500
211	402	1494
212	402	1488
213	403	1482
214	404	1476
215	405	1471
216	406	1466
217	407	1460
218	407	1454
219	408	1449
220	409	1443
221	410	1437
222	411	1432
223	411	1426
224	412	1421
225	413	1416
226	414	1411
227	415	1406
228	416	1401
229	417	1396
230	417	1390
231	418	1385
232	419	1380
233	420	1376
234	421	1371
235	421	1365
236	422	1360
237	423	1355
238	424	1350
239	425	1345
240	425	1341
241	427	1337
242	427	1333
243	428	1328
244	429	1323
245	430	1320
246	431	1315
247	432	1311
248	433	1306
249	434	1302
250	434	1297
251	435	1293
252	436	1289
253	437	1285
254	438	1280
255	439	1276
256	440	1272
257	441	1268
258	442	1264
259	442	1260
260	443	1255
261	444	1251
262	445	1247
263	446	1244
264	447	1240
265	448	1236
266	448	1232
267	449	1228
268	450	1223
269	451	1219
270	451	1215
271	452	1211
272	453	1207
273	454	1203
274	455	1199
275	456	1196
276	457	1192
277	457	1189
278	458	1185
279	459	1181
280	460	1178
281	461	1174
282	462	1171
283	463	1168
284	464	1164
285	465	1160
286	465	1157
287	466	1153
288	467	1149
289	468	1146
290	468	1142
291	469	1138
292	470	1135
293	471	1131
294	472	1128
295	472	1124
296	473	1121
297	474	1117
298	475	1114
299	476	1111
300	477	1108
301	478	1104
302	478	1101
303	479	1098
304	480	1094
305	481	1091
306	481	1087
307	482	1084
308	483	1080
309	484	1077
310	485	1075
311	485	1071
312	486	1068
313	487	1064
314	488	1061
315	488	1058
316	489	1055
317	490	1052
318	491	1049
319	492	1046
320	493	1043
321	493	1040
322	494	1037
323	495	1033
324	496	1031
325	497	1027
326	498	1024
327	498	1021
328	499	1018
329	500	1015
330	501	1013
331	502	1010
332	502	1007
333	503	1004
334	504	1001
335	505	999
336	506	996
337	507	993
338	507	990
339	508	987
340	509	984
341	510	981
342	511	978
343	511	976
344	512	973
345	513	971
346	514	968
347	515	965
348	516	963
349	517	960
350	517	957
351	518	954
352	519	952
353	520	949
354	520	946
355	521	943
356	522	941
357	523	938
358	524	935
359	525	933
360	525	930
361	526	928
362	527	925
363	528	923
364	529	920
365	529	917
366	530	915
367	531	912
368	532	910
369	533	907
370	534	905
371	534	903
372	535	900
373	536	898
374	537	895
375	538	893
376	538	890
377	539	888
378	540	885
379	541	883
380	542	880
381	542	878
382	543	875
383	544	873
384	545	870
385	545	868
386	546	866
387	547	863
388	548	861
389	549	858
390	549	856
391	550	854
392	551	852
393	552	849
394	553	847
395	554	845
396	555	843
397	555	840
398	556	838
399	557	836
400	558	833
401	559	831
402	559	829
403	560	827
404	561	824
405	562	822
406	563	820
407	564	818
408	565	816
409	565	814
410	566	811
411	567	809
412	568	807
413	568	805
414	569	803
415	570	800
416	571	798
417	572	796
418	573	794
419	573	792
420	574	790
421	575	788
422	576	785
423	576	783
424	577	781
425	578	779
426	579	777
427	580	775
428	580	773
429	581	771
430	582	768
431	583	766
432	584	764
433	584	762
434	585	760
435	586	758
436	587	756
437	588	754
438	588	752
439	589	750
440	590	748
441	591	746
442	591	744
443	592	742
444	593	739
445	593	737
446	594	735
447	595	733
448	596	731
449	597	730
450	598	728
451	598	726
452	599	724
453	600	722
454	601	720
455	602	718
456	603	716
457	603	714
458	604	712
459	605	710
460	606	709
461	607	707
462	608	705
463	608	703
464	609	701
465	610	699
466	611	697
467	612	696
468	613	694
469	613	692
470	614	690
471	615	688
472	616	686
473	616	684
474	617	682
475	618	680
476	619	678
477	619	677
478	620	675
479	621	673
480	622	671
481	623	669
482	624	668
483	625	666
484	625	664
485	626	662
486	627	660
487	628	659
488	629	657
489	629	655
490	630	653
491	631	651
492	632	650
493	633	648
494	633	646
495	634	644
496	635	643
497	636	641
498	637	639
499	638	638
500	638	636
501	639	634
502	640	633
503	641	631
504	642	629
505	643	627
506	643	626
507	644	624
508	645	622
509	646	620
510	647	619
511	647	617
512	648	615
513	649	614
514	650	612
515	651	610
516	652	609
517	653	607
518	653	606
519	654	604
520	655	602
521	656	601
